"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",0.0247099
"Jan 1, 09:00 am",0.0949069
"Jan 1, 10:00 am",0.196616
"Jan 1, 11:00 am",0.309833
"Jan 1, 12:00 pm",0.273773
"Jan 1, 01:00 pm",0.246175
"Jan 1, 02:00 pm",0.187194
"Jan 1, 03:00 pm",0.143369
"Jan 1, 04:00 pm",0.118474
"Jan 1, 05:00 pm",0.0123329
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",0.0338073
"Jan 2, 09:00 am",0.0744043
"Jan 2, 10:00 am",0.110276
"Jan 2, 11:00 am",0.133232
"Jan 2, 12:00 pm",0.141529
"Jan 2, 01:00 pm",0.127783
"Jan 2, 02:00 pm",0.0837644
"Jan 2, 03:00 pm",0.0862047
"Jan 2, 04:00 pm",0.0562777
"Jan 2, 05:00 pm",0.0125474
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0.0430906
"Jan 3, 09:00 am",0.189695
"Jan 3, 10:00 am",0.363115
"Jan 3, 11:00 am",0.466892
"Jan 3, 12:00 pm",0.519875
"Jan 3, 01:00 pm",0.525608
"Jan 3, 02:00 pm",0.455258
"Jan 3, 03:00 pm",0.370405
"Jan 3, 04:00 pm",0.206639
"Jan 3, 05:00 pm",0.0397606
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0.0403809
"Jan 4, 09:00 am",0.203638
"Jan 4, 10:00 am",0.365952
"Jan 4, 11:00 am",0.469164
"Jan 4, 12:00 pm",0.456936
"Jan 4, 01:00 pm",0.418726
"Jan 4, 02:00 pm",0.317976
"Jan 4, 03:00 pm",0.165419
"Jan 4, 04:00 pm",0.109203
"Jan 4, 05:00 pm",0.0150825
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",0.0377562
