"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",0.0215478
"Jan 1, 09:00 am",0.135224
"Jan 1, 10:00 am",0.266909
"Jan 1, 11:00 am",0.32986
"Jan 1, 12:00 pm",0.354923
"Jan 1, 01:00 pm",0.29159
"Jan 1, 02:00 pm",0.191279
"Jan 1, 03:00 pm",0.0872841
"Jan 1, 04:00 pm",0.00116334
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",0.0200589
"Jan 2, 09:00 am",0.130816
"Jan 2, 10:00 am",0.25834
"Jan 2, 11:00 am",0.299251
"Jan 2, 12:00 pm",0.201987
"Jan 2, 01:00 pm",0.181724
"Jan 2, 02:00 pm",0.139457
"Jan 2, 03:00 pm",0.0603048
"Jan 2, 04:00 pm",0.00141917
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0.018698
"Jan 3, 09:00 am",0.122345
"Jan 3, 10:00 am",0.215313
"Jan 3, 11:00 am",0.27072
"Jan 3, 12:00 pm",0.327523
"Jan 3, 01:00 pm",0.291596
"Jan 3, 02:00 pm",0.174921
"Jan 3, 03:00 pm",0.0753758
"Jan 3, 04:00 pm",0.00200623
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0.0106684
"Jan 4, 09:00 am",0.0509963
"Jan 4, 10:00 am",0.0896988
"Jan 4, 11:00 am",0.150104
"Jan 4, 12:00 pm",0.103772
"Jan 4, 01:00 pm",0.0868811
"Jan 4, 02:00 pm",0.0879834
"Jan 4, 03:00 pm",0.0417973
"Jan 4, 04:00 pm",0.00128351
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",0.0200558
"Jan 5, 09:00 am",0.121187
