bldg_id,nominal_power
resstock-amy2018-2021-release-1-108541,10.0
resstock-amy2018-2021-release-1-108624,10.0
resstock-amy2018-2021-release-1-111763,10.0
resstock-amy2018-2021-release-1-112641,10.0
resstock-amy2018-2021-release-1-122940,10.0
resstock-amy2018-2021-release-1-123582,10.0
resstock-amy2018-2021-release-1-130997,10.0
resstock-amy2018-2021-release-1-131043,10.0
resstock-amy2018-2021-release-1-141704,10.0
resstock-amy2018-2021-release-1-151710,10.0
resstock-amy2018-2021-release-1-157159,10.0
resstock-amy2018-2021-release-1-158885,10.0
resstock-amy2018-2021-release-1-159669,10.0
resstock-amy2018-2021-release-1-174488,10.0
resstock-amy2018-2021-release-1-175803,10.0
resstock-amy2018-2021-release-1-177451,10.0
resstock-amy2018-2021-release-1-195281,10.0
resstock-amy2018-2021-release-1-19656,10.0
resstock-amy2018-2021-release-1-207227,10.0
resstock-amy2018-2021-release-1-217106,10.0
resstock-amy2018-2021-release-1-231329,10.0
resstock-amy2018-2021-release-1-235184,10.0
resstock-amy2018-2021-release-1-237891,10.0
resstock-amy2018-2021-release-1-242708,10.0
resstock-amy2018-2021-release-1-243047,10.0
resstock-amy2018-2021-release-1-243868,10.0
resstock-amy2018-2021-release-1-245522,10.0
resstock-amy2018-2021-release-1-25516,10.0
resstock-amy2018-2021-release-1-25659,10.0
resstock-amy2018-2021-release-1-26963,10.0
resstock-amy2018-2021-release-1-272080,10.0
resstock-amy2018-2021-release-1-273646,10.0
resstock-amy2018-2021-release-1-279202,10.0
resstock-amy2018-2021-release-1-284868,10.0
resstock-amy2018-2021-release-1-286655,10.0
resstock-amy2018-2021-release-1-291139,10.0
resstock-amy2018-2021-release-1-296245,10.0
resstock-amy2018-2021-release-1-316419,10.0
resstock-amy2018-2021-release-1-320787,10.0
resstock-amy2018-2021-release-1-335233,10.0
resstock-amy2018-2021-release-1-340965,10.0
resstock-amy2018-2021-release-1-343490,10.0
resstock-amy2018-2021-release-1-355132,10.0
resstock-amy2018-2021-release-1-365282,10.0
resstock-amy2018-2021-release-1-366057,10.0
resstock-amy2018-2021-release-1-380746,10.0
resstock-amy2018-2021-release-1-386079,10.0
resstock-amy2018-2021-release-1-388573,10.0
resstock-amy2018-2021-release-1-417517,10.0
resstock-amy2018-2021-release-1-425690,10.0
resstock-amy2018-2021-release-1-439008,10.0
resstock-amy2018-2021-release-1-441958,10.0
resstock-amy2018-2021-release-1-442987,10.0
resstock-amy2018-2021-release-1-447017,10.0
resstock-amy2018-2021-release-1-449056,10.0
resstock-amy2018-2021-release-1-460764,10.0
resstock-amy2018-2021-release-1-467849,10.0
resstock-amy2018-2021-release-1-471744,10.0
resstock-amy2018-2021-release-1-480837,10.0
resstock-amy2018-2021-release-1-486818,10.0
resstock-amy2018-2021-release-1-50813,10.0
resstock-amy2018-2021-release-1-511121,10.0
resstock-amy2018-2021-release-1-513318,10.0
resstock-amy2018-2021-release-1-519230,10.0
resstock-amy2018-2021-release-1-523369,10.0
resstock-amy2018-2021-release-1-530679,10.0
resstock-amy2018-2021-release-1-534588,10.0
resstock-amy2018-2021-release-1-538198,10.0
resstock-amy2018-2021-release-1-55542,10.0
resstock-amy2018-2021-release-1-83099,10.0
resstock-amy2018-2021-release-1-90621,10.0
resstock-amy2018-2021-release-1-9212,10.0
resstock-amy2018-2021-release-1-98735,10.0
