timestep,month,day,day_name,day_of_week,hour,minute,direct_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load
1,1,1,Monday,1,1,0,0.0,-3.3,19.47526670503683,2.0,0.0,5651.0009856734505
2,1,1,Monday,1,2,0,0.0,-3.3,19.508732050723292,2.0,0.0,5961.301170073797
3,1,1,Monday,1,3,0,0.0,-3.3,19.48343538854391,2.0,0.0,5845.7331851311865
4,1,1,Monday,1,4,0,0.0,-3.3,19.451041511727247,2.0,0.0,5860.359132875012
5,1,1,Monday,1,5,0,0.0,-3.3,19.42806436312407,2.0,0.0,5925.792260480299
6,1,1,Monday,1,6,0,0.0,-3.3,19.35389337021512,2.0,0.0,5925.574593534671
7,1,1,Monday,1,7,0,0.0,-3.3,19.11348256525208,2.0,0.0,5590.6596769673915
8,1,1,Monday,1,8,0,0.0,-3.9,19.709760622008968,2.0,0.0,6544.857423327321
9,1,1,Monday,1,9,0,22.0,-3.9,20.382594929019298,1.0,0.0,6941.165861924259
10,1,1,Monday,1,10,0,36.0,-3.3,20.50786450679736,0.0,0.0,7161.636713218597
11,1,1,Monday,1,11,0,83.0,-3.3,20.44704554421991,0.0,0.0,6645.42012739065
12,1,1,Monday,1,12,0,234.5,-1.7,20.654845193985544,0.0,0.0,5757.619278153191
13,1,1,Monday,1,13,0,100.0,-1.1,20.14446327640771,0.0,0.0,4869.240338904533
14,1,1,Monday,1,14,0,68.0,-1.1,19.621162898397262,0.0,0.0,4609.076443923409
15,1,1,Monday,1,15,0,34.0,-0.6,19.725232886288133,0.0,0.0,4183.647538847148
16,1,1,Monday,1,16,0,41.5,-0.6,19.819669322925396,0.0,0.0,4381.963973770306
17,1,1,Monday,1,17,0,270.0,0.0,19.71025371583695,0.0,0.0,4032.589794808446
18,1,1,Monday,1,18,0,65.5,-1.1,19.93157822612689,2.0,0.0,4380.367439288988
19,1,1,Monday,1,19,0,0.0,-1.7,20.592506416095134,2.0,0.0,5381.368717808269
